word	rank	english_layout	punctuation	trigger_letters	punctuation_count	in_auto_core_100k	zipf	score
шлиссельбурге	214356	ikbcctkm,ehut	,	б	1	0	2.09	0.155714
шмейхель	214359	ivtq[tkm	[	х	1	0	2.09	0.155714
штыковую	214365	insrjde.	.	ю	1	0	2.09	0.155714
эвенкии	214369	'dtyrbb	'	э	1	0	2.09	0.155714
эверли	214370	'dthkb	'	э	1	0	2.09	0.155714
эгоистами	214371	'ujbcnfvb	'	э	1	0	2.09	0.155714
эдера	214372	'lthf	'	э	1	0	2.09	0.155714
эйро	214373	'qhj	'	э	1	0	2.09	0.155714
экзопланета	214374	'rpjgkfytnf	'	э	1	0	2.09	0.155714
экскурсиям	214375	'rcrehcbzv	'	э	1	0	2.09	0.155714
эксон	214376	'rcjy	'	э	1	0	2.09	0.155714
экспедиционная	214377	'rcgtlbwbjyyfz	'	э	1	0	2.09	0.155714
экспериментатором	214378	'rcgthbvtynfnjhjv	'	э	1	0	2.09	0.155714
экспоненциальное	214379	'rcgjytywbfkmyjt	'	э	1	0	2.09	0.155714
экссудата	214380	'rccelfnf	'	э	1	0	2.09	0.155714
экстремистский	214381	'rcnhtvbcncrbq	'	э	1	0	2.09	0.155714
электоральных	214382	'ktrnjhfkmys[	'[	эх	2	0	2.09	0.155714
электроинструмента	214383	'ktrnhjbycnhevtynf	'	э	1	0	2.09	0.155714
электромагнетизма	214384	'ktrnhjvfuytnbpvf	'	э	1	0	2.09	0.155714
электротоком	214385	'ktrnhjnjrjv	'	э	1	0	2.09	0.155714
эмалированной	214386	'vfkbhjdfyyjq	'	э	1	0	2.09	0.155714
эмигрировавших	214387	'vbuhbhjdfdib[	'[	эх	2	0	2.09	0.155714
эндоскопия	214388	'yljcrjgbz	'	э	1	0	2.09	0.155714
энеиды	214389	'ytbls	'	э	1	0	2.09	0.155714
энергоблоках	214390	'ythuj,kjrf[	',[	эбх	3	0	2.09	0.155714
эол	214391	'jk	'	э	1	0	2.09	0.155714
эпатажных	214392	'gfnf;ys[	';[	эжх	3	0	2.09	0.155714
эрарта	214393	'hfhnf	'	э	1	0	2.09	0.155714
эритрея	214394	'hbnhtz	'	э	1	0	2.09	0.155714
эрленд	214395	'hktyl	'	э	1	0	2.09	0.155714
эротике	214396	'hjnbrt	'	э	1	0	2.09	0.155714
эско	214397	'crj	'	э	1	0	2.09	0.155714
эскофье	214398	'crjamt	'	э	1	0	2.09	0.155714
эсто	214399	'cnj	'	э	1	0	2.09	0.155714
эстуарии	214400	'cnefhbb	'	э	1	0	2.09	0.155714
этикетом	214401	'nbrtnjv	'	э	1	0	2.09	0.155714
этьене	214402	'nmtyt	'	э	1	0	2.09	0.155714
этюде	214403	'n.lt	'.	эю	2	0	2.09	0.155714
эфесский	214404	'atccrbq	'	э	1	0	2.09	0.155714
эфиоп	214405	'abjg	'	э	1	0	2.09	0.155714
эфирами	214406	'abhfvb	'	э	1	0	2.09	0.155714
эхед	214407	'[tl	'[	эх	2	0	2.09	0.155714
юбиляры	214408	.,bkzhs	.,	юб	2	0	2.09	0.155714
ювенал	214409	.dtyfk	.	ю	1	0	2.09	0.155714
югославское	214410	.ujckfdcrjt	.	ю	1	0	2.09	0.155714
юдоль	214411	.ljkm	.	ю	1	0	2.09	0.155714
юкона	214412	.rjyf	.	ю	1	0	2.09	0.155714
юнгу	214413	.yue	.	ю	1	0	2.09	0.155714
юткевич	214414	.nrtdbx	.	ю	1	0	2.09	0.155714
юэлл	214415	.'kk	.'	юэ	2	0	2.09	0.155714
ясиноватую	214426	zcbyjdfne.	.	ю	1	0	2.09	0.155714
абажуры	214429	f,f;ehs	,;	бж	2	0	2.08	0.154286
авангардную	214430	fdfyufhlye.	.	ю	1	0	2.08	0.154286
автомагистралях	214434	fdnjvfubcnhfkz[	[	х	1	0	2.08	0.154286
автохтонных	214435	fdnj[njyys[	[[	хх	2	0	2.08	0.154286
алию	214457	fkb.	.	ю	1	0	2.08	0.154286
альбано	214465	fkm,fyj	,	б	1	0	2.08	0.154286
альбертовна	214466	fkm,thnjdyf	,	б	1	0	2.08	0.154286
амбра	214470	fv,hf	,	б	1	0	2.08	0.154286
ангарах	214477	fyufhf[	[	х	1	0	2.08	0.154286
антибактериальной	214490	fynb,frnthbfkmyjq	,	б	1	0	2.08	0.154286
апельсинах	214496	fgtkmcbyf[	[	х	1	0	2.08	0.154286
апухтина	214497	fge[nbyf	[	х	1	0	2.08	0.154286
арабск	214498	fhf,cr	,	б	1	0	2.08	0.154286
аруба	214508	fhe,f	,	б	1	0	2.08	0.154286
асинхронным	214509	fcby[hjyysv	[	х	1	0	2.08	0.154286
аустрию	214520	fecnhb.	.	ю	1	0	2.08	0.154286
ахаха	214527	f[f[f	[[	хх	2	0	2.08	0.154286
ахметзянов	214528	f[vtnpzyjd	[	х	1	0	2.08	0.154286
бадахшанской	214529	,flf[ifycrjq	,[	бх	2	0	2.08	0.154286
баевский	214530	,ftdcrbq	,	б	1	0	2.08	0.154286
базальтами	214531	,fpfkmnfvb	,	б	1	0	2.08	0.154286
бакир	214532	,frbh	,	б	1	0	2.08	0.154286
баксами	214533	,frcfvb	,	б	1	0	2.08	0.154286
балансовую	214534	,fkfycjde.	,.	бю	2	0	2.08	0.154286
балахне	214535	,fkf[yt	,[	бх	2	0	2.08	0.154286
балеарских	214536	,fktfhcrb[	,[	бх	2	0	2.08	0.154286
барнума	214537	,fhyevf	,	б	1	0	2.08	0.154286
баронессу	214538	,fhjytcce	,	б	1	0	2.08	0.154286
