word	rank	source_rank	zipf	score
миллер	6290	6409	4.19	0.455714
молдавии	6292	6411	4.19	0.455714
шевченко	6376	6495	4.19	0.455714
лукашенко	6421	6541	4.18	0.454286
урала	6500	6620	4.18	0.454286
алекс	6515	6638	4.17	0.452857
днепр	6538	6662	4.17	0.452857
майами	6564	6688	4.17	0.452857
газпром	6669	6795	4.16	0.451429
кубани	6700	6826	4.16	0.451429
новгороде	6721	6847	4.16	0.451429
скотт	6767	6893	4.16	0.451429
сталин	6770	6896	4.16	0.451429
тбилиси	6776	6902	4.16	0.451429
филипп	6791	6917	4.16	0.451429
америку	6804	6930	4.15	0.45
британии	6806	6932	4.15	0.45
испания	6842	6968	4.15	0.45
канаде	6844	6970	4.15	0.45
кореи	6852	6978	4.15	0.45
кристина	6855	6981	4.15	0.45
марио	6861	6987	4.15	0.45
путиным	6899	7025	4.15	0.45
владивосток	6957	7085	4.14	0.448571
донецка	6977	7105	4.14	0.448571
ленинграда	6993	7121	4.14	0.448571
новосибирске	7008	7136	4.14	0.448571
пермь	7022	7150	4.14	0.448571
франсуа	7081	7209	4.14	0.448571
эдвард	7089	7217	4.14	0.448571
англия	7099	7228	4.13	0.447143
владислав	7110	7239	4.13	0.447143
израиле	7132	7261	4.13	0.447143
индия	7135	7264	4.13	0.447143
историко	7139	7268	4.13	0.447143
майкла	7149	7278	4.13	0.447143
михайлович	7150	7279	4.13	0.447143
питера	7186	7315	4.13	0.447143
румынии	7211	7341	4.13	0.447143
васильевич	7256	7389	4.12	0.445714
вашингтоне	7257	7390	4.12	0.445714
диего	7274	7407	4.12	0.445714
донбасс	7276	7409	4.12	0.445714
иисус	7292	7425	4.12	0.445714
калифорнии	7300	7433	4.12	0.445714
киргизии	7305	7438	4.12	0.445714
корее	7317	7450	4.12	0.445714
медведева	7327	7460	4.12	0.445714
москвой	7330	7463	4.12	0.445714
одесса	7345	7478	4.12	0.445714
торпедо	7412	7545	4.12	0.445714
александрович	7439	7575	4.11	0.444286
галина	7459	7595	4.11	0.444286
госдуму	7460	7596	4.11	0.444286
джонни	7465	7601	4.11	0.444286
иисуса	7481	7618	4.11	0.444286
мороз	7506	7643	4.11	0.444286
парижа	7531	7668	4.11	0.444286
португалии	7540	7677	4.11	0.444286
пушкин	7550	7687	4.11	0.444286
ростове	7559	7696	4.11	0.444286
японский	7598	7735	4.11	0.444286
азербайджана	7599	7739	4.1	0.442857
александром	7600	7740	4.1	0.442857
андре	7601	7741	4.1	0.442857
аргентины	7602	7742	4.1	0.442857
васильев	7611	7751	4.1	0.442857
константина	7654	7794	4.1	0.442857
корея	7657	7797	4.1	0.442857
кузнецова	7660	7800	4.1	0.442857
савченко	7726	7866	4.1	0.442857
элизабет	7767	7907	4.1	0.442857
абхазии	7768	7913	4.09	0.441429
алиса	7772	7917	4.09	0.441429
бавария	7774	7919	4.09	0.441429
диана	7794	7939	4.09	0.441429
иркутск	7814	7959	4.09	0.441429
карлос	7818	7963	4.09	0.441429
патрик	7868	8013	4.09	0.441429
спартака	7918	8063	4.09	0.441429
шойгу	7940	8085	4.09	0.441429
эндрю	7941	8086	4.09	0.441429
александру	7944	8092	4.08	0.44
валентин	7958	8106	4.08	0.44
воронеже	7965	8113	4.08	0.44
греция	7970	8118	4.08	0.44
кличко	7993	8141	4.08	0.44
нидерландов	8028	8176	4.08	0.44
олега	8032	8180	4.08	0.44
петербургский	8042	8190	4.08	0.44
словакии	8092	8240	4.08	0.44
чарли	8130	8278	4.08	0.44
альберт	8139	8290	4.07	0.438571
белоруссия	8140	8291	4.07	0.438571
валерия	8146	8297	4.07	0.438571
германией	8173	8324	4.07	0.438571
джерси	8183	8334	4.07	0.438571
кавказа	8204	8355	4.07	0.438571
коста	8213	8364	4.07	0.438571
кэтрин	8218	8369	4.07	0.438571
лебедев	8219	8370	4.07	0.438571
льюис	8226	8377	4.07	0.438571
севастополе	8288	8439	4.07	0.438571
севастополя	8289	8440	4.07	0.438571
станислав	8304	8455	4.07	0.438571
степан	8305	8456	4.07	0.438571
тюмени	8314	8465	4.07	0.438571
украинском	8318	8469	4.07	0.438571
франц	8324	8475	4.07	0.438571
фрэнк	8326	8477	4.07	0.438571
баварии	8343	8498	4.06	0.437143
